date,registration,cause
"Dec 1, 1941",AM778,Human factor
"Dec 1, 1941",CCCP-L2561,Human factor
"Nov 30, 1941",CCCP-L589,Human factor
"Nov 30, 1941",7663,Human factor
"Nov 30, 1941",,Human factor
"Nov 29, 1941",L9405,Human factor
"Nov 29, 1941",CCCP-L3989,Human factor
"Nov 28, 1941",AE437,Human factor
"Nov 27, 1941",7766,Human factor
"Nov 27, 1941",AE440,Human factor
"Nov 26, 1941",L5846,Human factor
"Nov 25, 1941",DP854,Human factor
"Nov 20, 1941",NZ1245,Human factor
"Nov 19, 1941",AT478,Human factor
"Nov 18, 1941",L6195,Human factor
"Nov 16, 1941",V3626,Human factor
"Nov 16, 1941",P1152,Human factor
"Nov 15, 1941",37-521,Human factor
"Nov 14, 1941",CCCP-L3488,Human factor
"Nov 14, 1941",P4845,Human factor
"Nov 11, 1941",X3135,Human factor
"Nov 11, 1941",CCCP-L2131,Human factor
"Nov 10, 1941",CCCP-K153,Human factor
"Nov 9, 1941",Z6359,Human factor
"Nov 8, 1941",P1201,Human factor
"Nov 7, 1941",L6748,Human factor
"Nov 4, 1941",946,Human factor
"Nov 2, 1941",AT486,Human factor
"Nov 2, 1941",1248,Human factor
"Oct 30, 1941",NC25663,Human factor
"Oct 27, 1941",9023,Human factor
"Oct 27, 1941",CCCP-L3930,Human factor
"Oct 25, 1941",AM886,Human factor
"Oct 24, 1941",V6004,Human factor
"Oct 24, 1941",37-498,Human factor
"Oct 23, 1941",L1305,Human factor
"Oct 23, 1941",BJ496,Human factor
"Oct 23, 1941",CCCP-L157,Human factor
"Oct 22, 1941",CCCP-L1495,Human factor
"Oct 21, 1941",CCCP-P245,Human factor
"Oct 20, 1941",D-AUXZ,Human factor
"Oct 17, 1941",AS490,Human factor
"Oct 17, 1941",BB890,Human factor
"Oct 16, 1941",1412,Human factor
"Oct 13, 1941",,Human factor
"Oct 12, 1941",Z9737,Human factor
"Oct 12, 1941",L4849,Human factor
"Oct 12, 1941",39-42,Human factor
"Oct 10, 1941",VH-UZS,Human factor
"Oct 9, 1941",CCCP-L3420,Human factor
"Oct 4, 1941",CCCP-A1194,Human factor
"Oct 3, 1941",NC15376,Human factor
"Sep 30, 1941",AS550,Human factor
"Sep 30, 1941",AS186,Human factor
"Sep 29, 1941",CCCP-N289,Human factor
"Sep 28, 1941",CB+US,Human factor
"Sep 28, 1941",CCCP-L3542,Human factor
"Sep 27, 1941",AE577,Human factor
"Sep 26, 1941",W6483,Human factor
"Sep 22, 1941",Z7421,Human factor
"Sep 22, 1941",V5490,Human factor
"Sep 20, 1941",,Human factor
"Sep 17, 1941",6059,Human factor
"Sep 16, 1941",Z7363,Human factor
"Sep 15, 1941",V6425,Human factor
"Sep 13, 1941",R1792,Human factor
"Sep 13, 1941",,Human factor
"Sep 11, 1941",Z9566,Human factor
"Sep 10, 1941",37-518,Human factor
"Sep 9, 1941",N7337,Human factor
"Sep 8, 1941",T2228,Human factor
"Sep 7, 1941",N9617,Human factor
"Sep 6, 1941",6450,Human factor
"Sep 6, 1941",CCCP-F89,Human factor
"Sep 5, 1941",8L+HK,Human factor
"Sep 3, 1941",F-BAAE,Human factor
"Sep 3, 1941",Z6869,Human factor
"Sep 3, 1941",AE315,Human factor
"Sep 2, 1941",V3150,Human factor
"Sep 2, 1941",V3210,Human factor
"Sep 2, 1941",AM599,Human factor
"Sep 1, 1941",AM915,Human factor
"Aug 29, 1941",FL451,Human factor
"Aug 28, 1941",T1945,Human factor
"Aug 27, 1941",L6509,Human factor
"Aug 27, 1941",CCCP-L1996,Human factor
"Aug 26, 1941",,Human factor
"Aug 24, 1941",CCCP-L3764,Human factor
"Aug 23, 1941",T4234,Human factor
"Aug 22, 1941",7700,Human factor
"Aug 22, 1941",BJ+YQ,Human factor
"Aug 21, 1941",URSS-H,Human factor
"Aug 21, 1941",AH506,Human factor
"Aug 20, 1941",V6445,Human factor
"Aug 20, 1941",T9442,Human factor
"Aug 19, 1941",R1761,Human factor
"Aug 18, 1941",R1641,Human factor
"Aug 18, 1941",PP-PBD,Human factor
"Aug 18, 1941",CCCP-K398,Human factor
"Aug 18, 1941",CCCP-L2962,Human factor
"Aug 17, 1941",R1068,Human factor
"Aug 15, 1941",A16-8,Human factor
"Aug 14, 1941",AM260,Human factor
"Aug 14, 1941",6568,Human factor
"Aug 13, 1941",R1503,Human factor
"Aug 12, 1941",V6437,Human factor
"Aug 12, 1941",V5874,Human factor
"Aug 10, 1941",AM261,Human factor
"Aug 10, 1941",N7396,Human factor
"Aug 8, 1941",R3743,Human factor
"Aug 8, 1941",CCCP-L3515,Human factor
"Aug 7, 1941",R3816,Human factor
"Aug 6, 1941",CCCP-L3432,Human factor
"Aug 4, 1941",F-AOMR,Human factor
"Aug 3, 1941",N4568,Human factor
"Jul 31, 1941",W5719,Human factor
"Jul 30, 1941",CCCP-L3459,Human factor
"Jul 30, 1941",Z7646,Human factor
"Jul 28, 1941",V3987,Human factor
"Jul 28, 1941",P6954,Human factor
"Jul 28, 1941",L1342,Human factor
"Jul 26, 1941",742,Human factor
"Jul 26, 1941",CCCP-L3400,Human factor
"Jul 26, 1941",,Human factor
"Jul 22, 1941",CCCP-N292,Human factor
"Jul 21, 1941",L9533,Human factor
"Jul 20, 1941",V6038,Human factor
"Jul 20, 1941",V3623,Human factor
"Jul 20, 1941",T2337,Human factor
"Jul 18, 1941",L8729,Human factor
"Jul 18, 1941",L1449,Human factor
"Jul 18, 1941",K7090,Human factor
"Jul 18, 1941",CCCP-F49,Human factor
"Jul 16, 1941",X3220,Human factor
"Jul 16, 1941",CCCP-L3460,Human factor
"Jul 16, 1941",CCCP-F95,Human factor
"Jul 15, 1941",AH533,Human factor
"Jul 9, 1941",M2+AL,Human factor
"Jul 9, 1941",M2+CL,Human factor
"Jul 6, 1941",Z7272,Human factor
"Jul 3, 1941",3339,Human factor
"Jul 3, 1941",L1438,Human factor
"Jun 27, 1941",P4+??,Human factor
"Jun 27, 1941",R1501,Human factor
"Jun 26, 1941",NC16928,Human factor
"Jun 26, 1941",33-174,Human factor
"Jun 24, 1941",CCCP-L1478,Human factor
"Jun 24, 1941",T2963,Human factor
"Jun 20, 1941",L1532,Human factor
"Jun 19, 1941",AD904,Human factor
"Jun 17, 1941",,Human factor
"Jun 16, 1941",AX925,Human factor
"Jun 16, 1941",V6034,Human factor
"Jun 15, 1941",L9514,Human factor
"Jun 14, 1941",CCCP-L2986,Human factor
"Jun 10, 1941",3343,Human factor
"Jun 10, 1941",Belém,Human factor
"Jun 9, 1941",Z6663,Human factor
"Jun 3, 1941",782,Human factor
"Jun 3, 1941",W5450,Human factor
"Jun 3, 1941",L7899,Human factor
"May 27, 1941",CCCP-A1083,Human factor
"May 24, 1941",Z5948,Human factor
"May 22, 1941",F8+GM,Human factor
"May 21, 1941",CCCP-T435,Human factor
"May 18, 1941",L9413,Human factor
"May 18, 1941",CCCP-L2988,Human factor
"May 17, 1941",R1587,Human factor
"May 16, 1941",41-1147,Human factor
"May 15, 1941",NZ1276,Human factor
"May 4, 1941",N7304,Human factor
"Apr 27, 1941",K7177,Human factor
"Apr 24, 1941",N9023,Human factor
"Apr 21, 1941",MM23881,Human factor
"Apr 21, 1941",N1411,Human factor
"Apr 21, 1941",NO+RH,Human factor
"Apr 17, 1941",R9653,Human factor
"Apr 15, 1941",YU-SBA,Human factor
"Apr 14, 1941",NC646N,Human factor
"Apr 13, 1941",L8478,Human factor
"Apr 12, 1941",CCCP-L1679,Human factor
"Apr 7, 1941",1Z+JK,Human factor
"Apr 7, 1941",G6+KH,Human factor
"Apr 7, 1941",1Z+CL,Human factor
"Apr 7, 1941",1Z+KK,Human factor
"Apr 7, 1941",1Z+LL,Human factor
"Apr 4, 1941",AD748,Human factor
"Apr 4, 1941",Z6583,Human factor
"Apr 1, 1941",CCCP-L3311,Human factor
"Mar 31, 1941",P1893,Human factor
"Mar 31, 1941",N6288,Human factor
"Mar 28, 1941",ZS-AST,Human factor
"Mar 21, 1941",R3288,Human factor
"Mar 21, 1941",L7874,Human factor
"Mar 21, 1941",K6248,Human factor
"Mar 21, 1941",AM265,Human factor
"Mar 19, 1941",N7310,Human factor
"Mar 13, 1941",4D+??,Human factor
"Mar 12, 1941",6242,Human factor
"Mar 12, 1941",6103,Human factor
"Mar 12, 1941",6357,Human factor
"Mar 12, 1941",6273,Human factor
"Mar 8, 1941",CCCP-L3387,Human factor
"Mar 5, 1941",L6602,Human factor
"Mar 3, 1941",5J+??,Human factor
"Feb 28, 1941",L1168,Human factor
"Feb 27, 1941",P4996,Human factor
"Feb 27, 1941",X3124,Human factor
"Feb 26, 1941",NC28394,Human factor
"Feb 25, 1941",6250,Human factor
"Feb 18, 1941",,Human factor
"Feb 17, 1941",6200,Human factor
"Feb 17, 1941",K6283,Human factor
"Feb 16, 1941",X3048,Human factor
"Feb 13, 1941",CCCP-L3505,Human factor
"Feb 11, 1941",CCCP-L3374,Human factor
"Feb 9, 1941",P4359,Human factor
"Feb 7, 1941",P1149,Human factor
"Feb 7, 1941",P1302,Human factor
"Feb 7, 1941",07,Human factor
"Feb 5, 1941",F8+AH,Human factor
"Feb 3, 1941",L1251,Human factor
"Jan 25, 1941",6108,Human factor
"Jan 23, 1941",NC17315,Human factor
"Jan 17, 1941",SJ+SH,Human factor
"Jan 16, 1941",6224,Human factor
"Jan 16, 1941",37-523,Human factor
"Jan 13, 1941",L9487,Human factor
"Jan 6, 1941",6016,Human factor
"Jan 4, 1941",9622,Human factor
"Jan 3, 1941",L1100,Human factor
"Jan 1, 1941",T9287,Human factor
"Dec 30, 1940",R6226,Human factor
"Dec 29, 1940",P1071,Human factor
"Dec 21, 1940",X3154,Human factor
"Dec 21, 1940",I-BAIA,Human factor
"Dec 20, 1940",F-BAAR,Human factor
"Dec 20, 1940",L1467,Human factor
"Dec 14, 1940",L4835,Human factor
"Dec 9, 1940",T2520,Human factor
"Dec 9, 1940",,Human factor
"Dec 4, 1940",NC25678,Human factor
"Dec 3, 1940",T4207,Human factor
"Dec 2, 1940",K6242,Human factor
"Nov 29, 1940",AW135,Human factor
"Nov 27, 1940",L4552,Human factor
"Nov 27, 1940",W1790,Human factor
"Nov 26, 1940",R3914,Human factor
"Nov 23, 1940",CCCP-L3405,Human factor
"Nov 14, 1940",NZ1277,Human factor
"Nov 14, 1940",N9858,Human factor
"Nov 13, 1940",X-4,Human factor
"Nov 10, 1940",AX688,Human factor
"Nov 8, 1940",PP-SPF,Human factor
"Nov 8, 1940",LV-KAB,Human factor
"Nov 5, 1940",T2470,Human factor
"Nov 4, 1940",CB-17,Human factor
"Nov 4, 1940",R6019,Human factor
"Oct 29, 1940",P9622,Human factor
"Oct 23, 1940",L7775,Human factor
"Oct 22, 1940",1G+IT,Human factor
"Oct 20, 1940",NC5559,Human factor
"Oct 17, 1940",L7786,Human factor
"Oct 16, 1940",L7924,Human factor
"Oct 16, 1940",T4225,Human factor
"Oct 15, 1940",T4206,Human factor
"Oct 14, 1940",R4+DK,Human factor
"Oct 9, 1940",P5091,Human factor
"Oct 9, 1940",P8828,Human factor
"Oct 7, 1940",N4729,Human factor
"Oct 7, 1940",TI-9,Human factor
"Oct 5, 1940",P2072,Human factor
"Sep 28, 1940",P4392,Human factor
"Sep 25, 1940",L7071,Human factor
"Sep 24, 1940",L4281,Human factor
"Sep 22, 1940",L8610,Human factor
"Sep 21, 1940",KV+AG,Human factor
"Sep 20, 1940",7T+CL,Human factor
"Sep 17, 1940",L6660,Human factor
"Sep 7, 1940",M7+YK,Human factor
"Sep 7, 1940",7,Human factor
"Sep 2, 1940",R3159,Human factor
"Sep 2, 1940",N2992,Human factor
"Sep 1, 1940",BA+NG,Human factor
"Aug 29, 1940",N1489,Human factor
"Aug 23, 1940",YR-PIF,Human factor
"Aug 23, 1940",R3276,Human factor
"Aug 20, 1940",F8+KH,Human factor
"Aug 20, 1940",N1355,Human factor
"Aug 17, 1940",N1382,Human factor
"Aug 12, 1940",P9244,Human factor
"Aug 12, 1940",A1+?T,Human factor
"Aug 9, 1940",D-AIAV,Human factor
"Aug 7, 1940",P4902,Human factor
"Aug 7, 1940",L4187,Human factor
"Aug 2, 1940",L8692,Human factor
"Aug 2, 1940",N7314,Human factor
"Jul 30, 1940",VK+BG,Human factor
"Jul 22, 1940",NZ262,Human factor
"Jul 22, 1940",L4369,Human factor
"Jul 17, 1940",L4618,Human factor
"Jul 15, 1940",L5815,Human factor
"Jul 14, 1940",N7231,Human factor
"Jul 10, 1940",K8818,Human factor
"Jul 9, 1940",N5019,Human factor
"Jul 9, 1940",P4393,Human factor
"Jul 6, 1940",L4181,Human factor
"Jun 25, 1940",N3621,Human factor
"Jun 25, 1940",L4222,Human factor
"Jun 22, 1940",L4282,Human factor
"Jun 21, 1940",K6272,Human factor
"Jun 19, 1940",,Human factor
"Jun 18, 1940",T-1073,Human factor
"Jun 17, 1940",37-576,Human factor
"Jun 17, 1940",37-583,Human factor
"Jun 16, 1940",N5067,Human factor
"Jun 16, 1940",CCCP-A1289,Human factor
"Jun 15, 1940",NZ279,Human factor
"Jun 14, 1940",6057,Human factor
"Jun 13, 1940",P4339,Human factor
"Jun 12, 1940",NC10876,Human factor
"Jun 11, 1940",L9024,Human factor
"Jun 11, 1940",L8851,Human factor
"Jun 10, 1940",770,Human factor
"Jun 8, 1940",L4537,Human factor
"Jun 7, 1940",G-ABXR,Human factor
"Jun 6, 1940",N2993,Human factor
"Jun 5, 1940",293,Human factor
"Jun 4, 1940",L7047,Human factor
"Jun 1, 1940",L4583,Human factor
"May 30, 1940",DD+BT,Human factor
"May 30, 1940",,Human factor
"May 27, 1940",L4156,Human factor
"May 27, 1940",L4158,Human factor
"May 25, 1940",L6160,Human factor
"May 24, 1940",E-647,Human factor
"May 23, 1940",L4055,Human factor
"May 20, 1940",L-638,Human factor
"May 17, 1940",678,Human factor
"May 16, 1940",A4-4,Human factor
"May 12, 1940",L8386,Human factor
"May 12, 1940",F6+DH,Human factor
"May 10, 1940",496,Human factor
"May 10, 1940",L8778,Human factor
"May 9, 1940",L-632,Human factor
"May 9, 1940",L2225,Human factor
"May 7, 1940",N4940,Human factor
"May 4, 1940",L4857,Human factor
"May 3, 1940",205,Human factor
"May 2, 1940",OH-IPA,Human factor
"May 1, 1940",N1500,Human factor
"May 1, 1940",R3154,Human factor
"Apr 26, 1940",F-AMZT,Human factor
"Apr 26, 1940",CCCP-L3529,Human factor
"Apr 25, 1940",2084,Human factor
"Apr 24, 1940",L1544,Human factor
"Apr 24, 1940",305,Human factor
"Apr 22, 1940",P1175,Human factor
"Apr 22, 1940",D-ABOD,Human factor
"Apr 22, 1940",LV-AFA,Human factor
"Apr 22, 1940",L4236,Human factor
"Apr 22, 1940",G-AFKD,Human factor
"Apr 20, 1940",743,Human factor
"Apr 17, 1940",L4116,Human factor
"Apr 16, 1940",1Z+IY,Human factor
"Apr 14, 1940",L1264,Human factor
"Apr 14, 1940",L9207,Human factor
"Apr 12, 1940",1852,Human factor
"Apr 8, 1940",L9039,Human factor
"Apr 6, 1940",L1500,Human factor
"Apr 1, 1940",L4569,Human factor
"Mar 31, 1940",N6242,Human factor
"Mar 27, 1940",L1212,Human factor
"Mar 23, 1940",L4873,Human factor
"Mar 21, 1940",L1117,Human factor
"Mar 21, 1940",L1427,Human factor
"Mar 18, 1940",G-AFEY,Human factor
"Mar 17, 1940",L4063,Human factor
"Mar 16, 1940",I-SUTO,Human factor
"Mar 14, 1940",K7018,Human factor
"Mar 13, 1940",L1486,Human factor
"Mar 13, 1940",L1537,Human factor
"Mar 12, 1940",L8845,Human factor
"Mar 12, 1940",L1396,Human factor
"Mar 11, 1940",L6682,Human factor
"Mar 7, 1940",N6165,Human factor
"Mar 6, 1940",L4554,Human factor
"Mar 3, 1940",K9022,Human factor
"Mar 3, 1940",F-AOHA,Human factor
"Feb 29, 1940",C-79,Human factor
"Feb 25, 1940",L-568,Human factor
"Feb 23, 1940",N5086,Human factor
"Feb 11, 1940",N7294,Human factor
"Feb 10, 1940",K7255,Human factor
"Feb 10, 1940",BI+AK,Human factor
"Feb 5, 1940",K6927,Human factor
"Feb 4, 1940",462,Human factor
"Jan 31, 1940",2112,Human factor
"Jan 31, 1940",N4943,Human factor
"Jan 31, 1940",,Human factor
"Jan 30, 1940",,Human factor
"Jan 22, 1940",L4611,Human factor
"Jan 21, 1940",VH-URW,Human factor
"Jan 15, 1940",N7245,Human factor
"Jan 13, 1940",2022,Human factor
"Jan 12, 1940",K6317,Human factor
"Jan 10, 1940",P1941,Human factor
"Jan 10, 1940",L4371,Human factor
"Jan 8, 1940",T-950,Human factor
"Jan 7, 1940",N7256,Human factor
"Jan 6, 1940",K6246,Human factor
"Jan 5, 1940",N7250,Human factor
"Jan 4, 1940",T-908,Human factor
"Jan 1, 1940",P1260,Human factor
"Dec 15, 1939",T-913,Human factor
"Dec 10, 1939",P1267,Human factor
"Dec 6, 1939",K6189,Human factor
"Dec 4, 1939",I-BAUS,Human factor
"Dec 3, 1939",L4884,Human factor
"Dec 2, 1939",CCCP-K200,Human factor
"Dec 2, 1939",E-337,Human factor
"Nov 29, 1939",K6+FK,Human factor
"Nov 29, 1939",,Human factor
"Nov 25, 1939",X-195,Human factor
"Nov 24, 1939",L4147,Human factor
"Nov 23, 1939",L4034,Human factor
"Nov 20, 1939",G-AFFM,Human factor
"Nov 19, 1939",L4166,Human factor
"Nov 19, 1939",K6939,Human factor
"Nov 17, 1939",,Human factor
"Nov 17, 1939",L1350,Human factor
"Nov 15, 1939",,Human factor
"Nov 15, 1939",,Human factor
"Nov 13, 1939",414,Human factor
"Nov 13, 1939",XB-AFH,Human factor
"Nov 11, 1939",G-CAUE,Human factor
"Nov 9, 1939",L7059,Human factor
"Nov 8, 1939",K7225,Human factor
"Nov 8, 1939",P4848,Human factor
"Nov 8, 1939",L8731,Human factor
"Nov 7, 1939",P1845,Human factor
"Nov 6, 1939",VH-AAZ,Human factor
"Nov 6, 1939",K7185,Human factor
"Nov 6, 1939",K7203,Human factor
"Nov 6, 1939",L4345,Human factor
"Nov 6, 1939",L4547,Human factor
"Nov 5, 1939",L4239,Human factor
"Nov 3, 1939",N6144,Human factor
"Nov 3, 1939",K7061,Human factor
"Oct 31, 1939",N5177,Human factor
"Oct 31, 1939",N5158,Human factor
"Oct 30, 1939",L4071,Human factor
"Oct 30, 1939",L4288,Human factor
"Oct 30, 1939",L4363,Human factor
"Oct 24, 1939",L4175,Human factor
"Oct 18, 1939",L6689,Human factor
"Oct 17, 1939",I-IESI,Human factor
"Oct 14, 1939",K8711,Human factor
"Oct 14, 1939",P1170,Human factor
"Oct 13, 1939",K6152,Human factor
"Oct 11, 1939",L7905,Human factor
"Oct 10, 1939",N7227,Human factor
"Oct 10, 1939",,Human factor
"Oct 10, 1939",L4627,Human factor
"Oct 9, 1939",G6+KO,Human factor
"Oct 6, 1939",Atahualpa,Human factor
"Oct 5, 1939",401,Human factor
"Sep 29, 1939",X-289,Human factor
"Sep 25, 1939",K6202,Human factor
"Sep 19, 1939",K9001,Human factor
"Sep 19, 1939",L4645,Human factor
"Sep 19, 1939",L4232,Human factor
"Sep 12, 1939",L4574,Human factor
"Sep 11, 1939",K7093,Human factor
"Sep 8, 1939",L4320,Human factor
"Sep 7, 1939",K7003,Human factor
"Sep 5, 1939",L4161,Human factor
"Sep 5, 1939",K2345,Human factor
"Sep 4, 1939",N7239,Human factor
"Aug 31, 1939",,Human factor
"Aug 25, 1939",L7903,Human factor
"Aug 23, 1939",L5808,Human factor
"Aug 11, 1939",L4240,Human factor
"Aug 7, 1939",N6180,Human factor
"Aug 3, 1939",L1384,Human factor
"Aug 1, 1939",N6329,Human factor
"Aug 1, 1939",N6297,Human factor
"Jul 29, 1939",E-342,Human factor
"Jul 26, 1939",K6255,Human factor
"Jul 25, 1939",L1465,Human factor
"Jul 23, 1939",CCCP-A1072,Human factor
"Jul 21, 1939",G-ABJZ,Human factor
"Jul 21, 1939",L4290,Human factor
"Jul 20, 1939",L8368,Human factor
"Jul 18, 1939",L4046,Human factor
"Jul 15, 1939",K8566,Human factor
"Jul 7, 1939",L1529,Human factor
"Jul 7, 1939",L1543,Human factor
"Jun 21, 1939",ZK-ABE,Human factor
"Jun 20, 1939",G-AERE,Human factor
"Jun 15, 1939",G-CARM,Human factor
"Jun 11, 1939",VH-UHS,Human factor
"Jun 11, 1939",VH-UNP,Human factor
"Jun 10, 1939",PH-AJK,Human factor
"May 22, 1939",CCCP-N214,Human factor
"May 16, 1939",CCCP-L2162,Human factor
"May 12, 1939",VH-UPY,Human factor
"May 9, 1939",K6210,Human factor
"May 8, 1939",G-AAVR,Human factor
"May 2, 1939",A4-11,Human factor
"Apr 29, 1939",,Human factor
"Apr 25, 1939",G-AEAK,Human factor
"Apr 22, 1939",E-629,Human factor
"Apr 22, 1939",,Human factor
"Apr 22, 1939",K6185,Human factor
"Apr 19, 1939",CCCP-L2221,Human factor
"Apr 17, 1939",D-ADUO,Human factor
"Apr 17, 1939",K6245,Human factor
"Apr 17, 1939",L4653,Human factor
"Apr 5, 1939",K6275,Human factor
"Apr 1, 1939",K8780,Human factor
"Mar 17, 1939",L1165,Human factor
"Mar 14, 1939",OO-AUA,Human factor
"Mar 2, 1939",CCCP-L2524,Human factor
"Feb 27, 1939",CF-CEI,Human factor
"Feb 24, 1939",D-ALUS,Human factor
"Feb 11, 1939",CCCP-L527,Human factor
"Feb 2, 1939",CCCP-L2519,Human factor
"Jan 30, 1939",CCCP-L2295,Human factor
"Jan 27, 1939",F-ANPJ,Human factor
"Jan 25, 1939",25-12,Human factor
"Jan 24, 1939",G-AAIU,Human factor
"Jan 24, 1939",K6314,Human factor
"Jan 18, 1939",VH-ABI,Human factor
"Jan 17, 1939",K8708,Human factor
"Jan 17, 1939",L9149,Human factor
"Jan 13, 1939",PP-CAY,Human factor
"Jan 9, 1939",L9153,Human factor
"Jan 7, 1939",HB-ITA,Human factor
"Dec 26, 1938",CCCP-A701,Human factor
"Dec 23, 1938",L2255,Human factor
"Dec 20, 1938",CCCP-I87,Human factor
"Dec 20, 1938",CCCP-L2171,Human factor
"Dec 16, 1938",K8757,Human factor
"Dec 12, 1938",K7111,Human factor
"Dec 12, 1938",K8759,Human factor
"Dec 9, 1938",PH-APE,Human factor
"Dec 6, 1938",D-ACON,Human factor
"Dec 4, 1938",PK-SAD,Human factor
"Dec 2, 1938",D-ANOY,Human factor
"Dec 2, 1938",XA-BAU,Human factor
"Nov 29, 1938",NC16066,Human factor
"Nov 24, 1938",L1346,Human factor
"Nov 24, 1938",K7121,Human factor
"Nov 24, 1938",K7002,Human factor
"Nov 22, 1938",I-TUON,Human factor
"Nov 14, 1938",PH-ARY,Human factor
"Nov 14, 1938",K5194,Human factor
"Nov 11, 1938",K6956,Human factor
"Nov 10, 1938",L2256,Human factor
"Nov 4, 1938",G-ACZN,Human factor
"Nov 4, 1938",CCCP-L1622,Human factor
"Oct 26, 1938",L1252,Human factor
"Oct 25, 1938",VH-UYC,Human factor
"Oct 16, 1938",4,Human factor
"Oct 16, 1938",A4-8,Human factor
"Oct 13, 1938",CCCP-A988,Human factor
"Oct 10, 1938",CCCP-L1560,Human factor
"Oct 4, 1938",,Human factor
"Oct 1, 1938",D-AVFB,Human factor
"Sep 29, 1938",D-AMOK,Human factor
"Sep 24, 1938",D-OQAT,Human factor
"Sep 23, 1938",CCCP-L2446,Human factor
"Sep 22, 1938",L1136,Human factor
"Sep 19, 1938",L7949,Human factor
"Sep 5, 1938",CCCP-A774,Human factor
"Sep 1, 1938",CCCP-Sh924,Human factor
"Sep 1, 1938",CCCP-L956,Human factor
"Sep 1, 1938",CCCP-L1900,Human factor
"Aug 29, 1938",VH-UXK,Human factor
"Aug 24, 1938",J-BJDO,Human factor
"Aug 23, 1938",,Human factor
"Aug 22, 1938",E-272,Human factor
"Aug 22, 1938",E-367,Human factor
"Aug 19, 1938",CCCP-L2180,Human factor
"Aug 15, 1938",0895,Human factor
"Aug 15, 1938",0896,Human factor
"Aug 13, 1938",OK-BAG,Human factor
"Aug 12, 1938",XA-BAS,Human factor
"Aug 10, 1938",A4-29,Human factor
"Aug 8, 1938",K8831,Human factor
"Aug 4, 1938",E-331,Human factor
"Jul 27, 1938",E-060,Human factor
"Jul 23, 1938",K7017,Human factor
"Jul 14, 1938",K2411,Human factor
"Jul 11, 1938",B.111,Human factor
"Jul 10, 1938",CCCP-A626,Human factor
"Jul 8, 1938",NC17383,Human factor
"Jun 26, 1938",OA-HHB,Human factor
"Jun 24, 1938",CCCP-A512,Human factor
"Jun 22, 1938",CCCP-L1206,Human factor
"Jun 19, 1938",NC14272,Human factor
"Jun 9, 1938",,Human factor
"Jun 9, 1938",,Human factor
"May 16, 1938",NC17394,Human factor
"May 14, 1938",G-AFGU,Human factor
"May 14, 1938",CCCP-T210,Human factor
"May 12, 1938",K7128,Human factor
"May 6, 1938",K7054,Human factor
"May 5, 1938",XA-BFR,Human factor
"May 2, 1938",CCCP-L2056,Human factor
"Apr 30, 1938",I-MEDA,Human factor
"Apr 9, 1938",CCCP-L190,Human factor
"Apr 7, 1938",K7168,Human factor
"Apr 6, 1938",K8767,Human factor
"Apr 5, 1938",CCCP-L1779,Human factor
"Apr 1, 1938",K6320,Human factor
"Mar 30, 1938",I-BEZI,Human factor
"Mar 29, 1938",K4871,Human factor
"Mar 28, 1938",K7288,Human factor
"Mar 17, 1938",CCCP-N210,Human factor
"Mar 10, 1938",CCCP-L1950,Human factor
"Mar 8, 1938",VH-UNU,Human factor
"Mar 7, 1938",K7134,Human factor
"Mar 4, 1938",D-OJIL,Human factor
"Mar 1, 1938",NC13789,Human factor
"Feb 26, 1938",VH-UZX,Human factor
"Feb 25, 1938",K5095,Human factor
"Feb 25, 1938",K6233,Human factor
"Feb 24, 1938",NC14250,Human factor
"Feb 20, 1938",CCCP-L2398,Human factor
"Feb 16, 1938",F-ANXK,Human factor
"Feb 3, 1938",A3-2,Human factor
"Feb 2, 1938",0463,Human factor
"Feb 2, 1938",0462,Human factor
"Jan 26, 1938",CCCP-L1616,Human factor
"Jan 24, 1938",K6277,Human factor
"Jan 19, 1938",CF-CEH,Human factor
"Jan 19, 1938",G-CALE,Human factor
"Jan 11, 1938",K1893,Human factor
"Jan 8, 1938",K7150,Human factor
"Jan 7, 1938",CCCP-E41,Human factor
"Dec 29, 1937",CCCP-L1228,Human factor
"Dec 24, 1937",F-AMYD,Human factor
"Dec 17, 1937",PH-AKC,Human factor
"Dec 16, 1937",K5183,Human factor
"Dec 15, 1937",CB-18,Human factor
"Dec 13, 1937",K4039,Human factor
"Dec 8, 1937",F-AOTZ,Human factor
"Dec 5, 1937",G-ADUZ,Human factor
"Dec 3, 1937",ZK-ABV,Human factor
"Dec 3, 1937",K7110,Human factor
"Nov 30, 1937",K8345,Human factor
"Nov 24, 1937",K8541,Human factor
"Nov 23, 1937",SP-ASJ,Human factor
"Nov 16, 1937",OO-AUB,Human factor
"Nov 16, 1937",CCCP-L561,Human factor
"Nov 12, 1937",D-AXAV,Human factor
"Nov 7, 1937",CF-ABC,Human factor
"Nov 3, 1937",A8294,Human factor
"Oct 28, 1937",K6322,Human factor
"Oct 26, 1937",K6205,Human factor
"Oct 17, 1937",NC16074,Human factor
"Oct 1, 1937",G-ADVC,Human factor
"Sep 30, 1937",K7057,Human factor
"Sep 24, 1937",G-AALX,Human factor
"Sep 20, 1937",AL-72,Human factor
"Sep 17, 1937",CCCP-T118,Human factor
"Sep 17, 1937",CCCP-T190,Human factor
"Sep 17, 1937",K6227,Human factor
"Sep 15, 1937",OB-BBR-285,Human factor
"Sep 11, 1937",D-ORUP,Human factor
"Sep 11, 1937",K8778,Human factor
