date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
2015-07-17,Accident,Canadair CL-215,Hellenic Air Force - Elleniki Polemiki Aeroporia,1980,Multi Piston Engines,Pratt & Whitney R-2800-83AM,Flight,Fire fighting,Mountains,"Faraklo, Peloponnese / Πελοπόννησος",Greece,Europe,36.5275323,23.0870697,Substantial,2,0,0,Technical failure
2015-07-17,Unknown,Cessna 207 Skywagon/Stationair,Wings of Alaska,1984,Unknown,Unknown,Flight,Scheduled Revenue Flight,Mountains,"Point Howard, Alaska",United States of America,North America,56.0691667,-134.2336111,Unknown,5,1,0,Human factor
2015-07-19,Accident,Learjet 35,Private Venezuela,1979,Multi Jet Engines,Unknown,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Panama City-Tocumen, Panamá",Panama,Central America,8.559559,-81.1308434,Substantial,2,0,0,Unknown
2015-07-22,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),DLM Holding Group,1984,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Oshkosh, Wisconsin",United States of America,North America,44.0206919,-88.5408574,Unknown,5,0,0,Human factor
2015-07-24,Accident,ATR72-200,Air Bagan,1995,Unknown,Pratt & Whitney Canada PW127F,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Yangon-Mingaladon, Yangon Region",Myanmar,Asia,16.9122626,96.13680793418538,Substantial,54,0,0,Human factor
2015-07-26,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Private Japanese,1989,Unknown,Unknown,Takeoff (climb),Private,City,"Tokyo-Chōfu, Kantō",Japan,Asia,36.5748441,139.2394179,Unknown,5,3,1,Human factor
2015-07-27,Accident,Embraer C-95 Bandeirante,Brazilian Air Force - Força Aérea Brasileira (1941-),1984,Multi Turboprop Engines,P&W Canada PT6A,Takeoff (climb),Training,Airport (less than 10 km from airport),"Lagoa Santa AFB (Belo Horizonte), Minas Gerais",Brazil,South America,-10.3333333,-53.2,Substantial,3,0,0,Human factor
2015-07-29,Unknown,Socata TBM-700,Trustey Management Corporation,2009,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Milwaukee-Lawrence J. Timmerman, Wisconsin",United States of America,North America,43.111984050000004,-88.03388147634143,Unknown,2,2,0,Human factor
2015-07-31,Unknown,Casa-Nurtanio CN-235 (IPTN),Colombian Air Force - Fuerza Aérea Colombiana,1997,Unknown,Unknown,Flight,Military,"Plain, Valley","Agustín Codazzi, Cesar",Colombia,South America,10.0374894,-73.2387011,Unknown,11,11,0,Technical failure
2015-07-31,Accident,Embraer EMB-505 Phenom 300,Salem Aviation (Saudi Arabia),2010,Multi Jet Engines,Pratt & Whitney Canada PW535E,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Blackbushe, Hampshire",United Kingdom,Europe,51.32421415,-0.8451410407803077,Destroyed,4,4,0,Human factor
2015-07-31,Serious incident,Embraer EMB-120 Brasília,RusLine,1990,Multi Turboprop Engines,Pratt & Whitney Canada PW118,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Moscow-Domodedovo, Moscow oblast",Russia,Asia,55.34211905,37.83439345,Destroyed,31,0,0,Technical failure
2015-08-01,Accident,PZL-Mielec AN-2,Aero West,1982,1 Piston engine,Shvetsov ASh-62IR,Takeoff (climb),Spraying (Agricultural),"Plain, Valley","Stăncuța, Brăila",Romania,Europe,44.8966242,27.8367992,Destroyed,2,1,0,Human factor
2015-08-01,Unknown,Beechcraft 90 King Air,Absher Air,1995,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Georgetown, Kentucky",United States of America,North America,38.2099837,-84.5597128,Unknown,4,0,0,Unknown
2015-08-07,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Majestic Air,2001,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Saranac Lake-Adirondack, New York",United States of America,North America,44.3309269,-74.1326132,Unknown,4,4,0,Human factor
2015-08-08,Unknown,Cessna 402,Aeroexpress (Colombia),1977,Unknown,Unknown,Landing (descent or approach),Training,"Plain, Valley","Cajicá, Cundinamarca",Colombia,South America,4.91532495,-74.0199223731243,Unknown,3,3,0,Human factor
2015-08-09,Unknown,Cessna 421B Golden Eagle II,James L. Bostwick,1970,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Clovis, New Mexico",United States of America,North America,34.405472,-103.2050709,Unknown,1,0,0,Human factor
2015-08-09,Unknown,De Havilland DHC-2 Beaver,Private American,1960,Unknown,Unknown,Flight,Ferry,Mountains,"Barkárdal, Northeastern Region (Norðurland eystra)",Iceland,Europe,65.655136,-18.609018,Unknown,2,1,0,Human factor
2015-08-12,Unknown,PAC 750XL - Pacific Aerospace Corporation,Komala Air,2010,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Ninia, Special Region of Papua",Indonesia,Asia,-2.4833826,117.8902853,Unknown,6,1,0,Human factor
2015-08-12,Accident,Cessna 208B Grand Caravan,Federal Express - FedEx,1987,1 Turboprop engine,Pratt & Whitney Canada PT6A-114A,Flight,Cargo,"Lake, Sea, Ocean, River","Juancho E. Yrausquin (Saba Island), Dutch Antilles",Dutch Antilles,Central America,12.1845,-68.6607922625,Substantial,1,0,0,Technical failure
2015-08-16,Unknown,Cessna 441 Conquest,E-Med Rescue 24,1983,Unknown,Unknown,Landing (descent or approach),Ambulance,Mountains,"Cape Town, Western Cape",South Africa,Africa,-33.9288301,18.4172197,Unknown,5,5,0,Human factor
2015-08-16,Accident,Rockwell Sabreliner 60,BAe Systems,1974,Multi Jet Engines,Pratt & Whitney JT12A-8 Turbo Wasp,Landing (descent or approach),Military,Airport (less than 10 km from airport),"San Diego-Brown Field, California",United States of America,North America,39.7837304,-100.445882,Destroyed,4,4,0,Human factor
2015-08-16,Accident,ATR42-300,Trigana Air Service,1988,Multi Turboprop Engines,Pratt & Whitney Canada PW120,Flight,Scheduled Revenue Flight,Mountains,"Oksibil, Special Region of Papua",Indonesia,Asia,-2.4833826,117.8902853,Destroyed,54,54,0,Human factor
2015-08-16,Accident,Beechcraft 100 King Air,Maritime Air Charter,1972,Unknown,Pratt & Whitney Canada PT6A-28,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Margaree, Nova Scotia",Canada,North America,46.3972835,-61.0747331,Substantial,4,0,0,Human factor
2015-08-20,Accident,Let L-410,Dubnica Air,1984,Multi Turboprop Engines,Walter M-601D,Flight,Skydiving / Paratroopers,"Plain, Valley","Červený Kameň, Trenčín Region",Slovakia,Europe,49.0875197,18.1825274,Destroyed,19,4,0,Human factor
2015-08-20,Accident,Let L-410,Dubnica Air,1975,Multi Turboprop Engines,Walter M-601D,Flight,Skydiving / Paratroopers,"Plain, Valley","Červený Kameň, Trenčín Region",Slovakia,Europe,49.0875197,18.1825274,Destroyed,19,3,0,Human factor
2015-08-21,Accident,Eclipse EA500,UF Equipment,2008,Multi Jet Engines,Pratt & Whitney Canada PW617F-A,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Danbury, Connecticut",United States of America,North America,41.394817,-73.4540111,Substantial,3,0,0,Human factor
2015-08-23,Unknown,De Havilland DHC-2 Beaver,Air Saguenay,1958,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","Les Bergeronnes, Quebec",Canada,North America,48.243882,-69.545517,Unknown,6,6,0,Human factor
2015-08-26,Accident,Cessna 550 Citation II,Private Venezuela,1986,Multi Jet Engines,P&W Canada JT15D-4,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Charallave-Óscar Machado Zuloaga, Miranda",Venezuela,South America,8.0018709,-66.1109318,Substantial,8,0,0,Human factor
2015-08-27,Accident,Cessna 750 Citation X,Private Mexican,2002,Multi Jet Engines,Rolls-Royce AE3007C-1,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Toluca, México",Mexico,Central America,19.292545,-99.6569007,Substantial,2,0,0,Unknown
2015-08-28,Unknown,Beechcraft 90 King Air,Chopaire,1973,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Fayetteville, Tennessee",United States of America,North America,35.1520267,-86.5705509,Unknown,1,0,0,Technical failure
2015-08-28,Accident,Boeing 737-300,Cardig Air,1986,Multi Jet Engines,CFMI CFM56-3B2,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Wamena, Special Region of Papua",Indonesia,Asia,-2.4833826,117.8902853,Substantial,2,0,0,Human factor
2015-08-29,Accident,Dornier DO228,Nigerian Air Force,1993,Multi Turboprop Engines,Unknown,Takeoff (climb),Military,City,"Old Kaduna, Kaduna",Nigeria,Africa,10.5908009,7.4458927,Destroyed,7,7,0,Unknown
2015-08-29,Unknown,Technoavia SM-92 Turbo Finist,Private Hungarian,1993,Unknown,Unknown,Takeoff (climb),Skydiving / Paratroopers,Airport (less than 10 km from airport),"Casale Monferrato, Piedmont",Italy,Europe,45.1362661,8.4498127,Unknown,11,0,0,Technical failure
2015-08-31,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Private German,1989,Unknown,Unknown,Takeoff (climb),Private,"Lake, Sea, Ocean, River","Cannes, Alpes-Maritimes",France,Europe,43.5515198,7.0134418,Unknown,2,0,0,Human factor
2015-09-03,Accident,Cessna 550 Citation Bravo,Jet24,2001,Multi Jet Engines,Pratt & Whitney Canada PW530A,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Vienna-Schwechat, Vienna",Austria,Europe,47.59397,14.12456,Substantial,5,0,0,Technical failure
2015-09-05,Accident,BAe 125,Senegalair,1979,Unknown,Garrett TFE731-3R-1H,Flight,Ambulance,"Lake, Sea, Ocean, River","Atlantic Ocean, All World",World,World,33.9744819,-118.269835,Aircraft missing,7,7,0,Human factor
2015-09-06,Accident,De Havilland DHC-6 Twin Otter,Rampart Aviation,1968,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-20,Landing (descent or approach),Survey / Patrol / Reconnaissance,Airport (less than 10 km from airport),"Louisburg-North Raleigh, North Carolina",United States of America,North America,35.80318847030813,-78.62200592859072,Substantial,3,0,0,Technical failure
2015-09-11,Unknown,Piper PA-60 Aerostar (Ted Smith 600),Heliblack,1969,Unknown,Unknown,Flight,Cinematography,Mountains,"San Pedro de los Milagros, Antioquia",Colombia,South America,6.4618141,-75.5560645,Unknown,3,2,0,Human factor
2015-09-15,Unknown,Piper PA-31-350 Navajo Chieftain,Keystone Air Service,1980,Unknown,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Thompson, Manitoba",Canada,North America,55.743347,-97.863464,Unknown,8,0,0,Human factor
2015-09-15,Accident,De Havilland DHC-3 Otter,Rainbow King Lodge,1954,1 Turboprop engine,Garrett TPE331-12JR-702,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","Iliamna, Alaska",United States of America,North America,59.800471,-154.88152494297444,Substantial,10,3,0,Human factor
2015-09-16,Accident,PZL-Mielec AN-2,Yenisei Aviation Enterprise,1969,1 Piston engine,Shvetsov ASh-62IR,Flight,Positioning,"Plain, Valley","Bratsk, Irkutsk oblast",Russia,Asia,56.1517085,101.6334907,Substantial,3,0,0,Technical failure
2015-09-21,Unknown,Rockwell Grand Commander 680,James R. Metzger,1959,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Boise, Idaho",United States of America,North America,43.6166163,-116.200886,Unknown,1,0,0,Human factor
2015-09-24,Unknown,Cessna 421B Golden Eagle II,STS Aviation,1972,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"Ozren, Republika Srpska",Bosnia and Herzegovina,Europe,43.349508,18.6595222,Unknown,3,1,0,Human factor
2015-09-25,Accident,Curtiss C-46 Commando,Buffalo Airways,1944,Multi Piston Engines,Pratt & Whitney R-2800-51M3,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Déline, Northwest Territories",Canada,North America,65.1851519,-123.420944,Substantial,4,0,0,Technical failure
2015-09-25,Accident,Cessna 550 Citation Bravo,Yulgilbar Pastoral Company,1998,Multi Jet Engines,Unknown,Takeoff (climb),Positioning,Airport (less than 10 km from airport),"Lismore, New South Wales",Australia,Oceania,-28.8077608,153.2791883,Substantial,2,0,0,Human factor
2015-09-30,Accident,De Havilland DHC-8-400 (Dash-8),Luxair,2012,Multi Turboprop Engines,Pratt & Whitney Canada PW150A,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Saarbrücken, Saarland",Germany,Europe,49.234362,6.996379,Substantial,20,0,0,Human factor
2015-10-02,Accident,De Havilland DHC-6 Twin Otter,Skydive Dubai,1968,Multi Turboprop Engines,Unknown,Landing (descent or approach),Skydiving / Paratroopers,Airport (less than 10 km from airport),"Dubai-Palm Jumeirah, Dubai",United Arab Emirates,Asia,25.134611200000002,55.150404913624335,Substantial,1,0,0,Unknown
2015-10-02,Accident,Lockheed C-130 Hercules,United States Air Force - USAF (since 1947),2011,Multi Turboprop Engines,Allison AE2100D3,Takeoff (climb),Military,Airport (less than 10 km from airport),"Jalalabad, Nangarhar",Afghanistan,Asia,34.430195,70.460128,Destroyed,11,11,3,Human factor
2015-10-02,Unknown,Piper PA-31-310 Navajo,KASI - KalusAir Services Inc.,1979,Unknown,Unknown,Flight,Geographical / Geophysical / Scientific,"Plain, Valley","Veracruz, Rivas",Nicaragua,Central America,11.4236637,-85.8748274,Unknown,1,1,0,Unknown
2015-10-02,Accident,De Havilland DHC-6 Twin Otter,Aviastar Mandiri,1981,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-27,Flight,Scheduled Revenue Flight,Mountains,"Mt Bajaja, South Sulawesi",Indonesia,Asia,-2.4833826,117.8902853,Destroyed,10,10,0,Human factor
2015-10-03,Accident,Beechcraft 200 Super King Air,London Executive Aviation,1982,Unknown,Pratt & Whitney Canada PT6A-42,Takeoff (climb),Positioning,Airport (less than 10 km from airport),"Stapleford, Essex",United Kingdom,Europe,51.6411558,0.173841440231995,Destroyed,2,2,0,Human factor
2015-10-03,Unknown,Piper PA-31-310 Navajo,El Caminente Air,1976,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Bogotá-Guaymaral, Bogotá Capital District",Colombia,South America,4.831287243408182,-74.06390781270457,Unknown,3,2,0,Technical failure
2015-10-05,Unknown,Rockwell Grand Commander 680,Private American,1967,Unknown,Unknown,Flight,Illegal (smuggling),Desert,"Capatárida, Falcón",Venezuela,South America,11.1729744,-70.6194495,Unknown,2,2,0,Unknown
2015-10-06,Accident,BAe 146,Starbow,1989,Multi Jet Engines,Lycoming ALF502R-5,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Tamale, Northern",Ghana,Africa,9.4051992,-0.8423986,Substantial,76,0,0,Unknown
2015-10-12,Accident,Cessna 208B Grand Caravan,Afghan Republican Air Force - Afghan Hanai Qurah,2012,1 Turboprop engine,Unknown,Takeoff (climb),Military,Mountains,"Bamyan, Bamyan",Afghanistan,Asia,34.794631,67.684334,Destroyed,7,2,0,Unknown
2015-10-12,Accident,Airbus A300,Tristar Air,1980,Multi Jet Engines,Unknown,Landing (descent or approach),Cargo,"Plain, Valley","Afgooye, Shabeellaha Hoose (شبيلي السفلى)",Somalia,Africa,2.23548745,44.99694192797743,Destroyed,6,0,0,Human factor
2015-10-14,Accident,Cessna 208B Grand Caravan,Microsurvey Aéreogeofísica e Consultoria Cientifica,2000,1 Turboprop engine,Pratt & Whitney Canada PT6A-114A,Flight,Geographical / Geophysical / Scientific,Mountains,"Yumbo, Valle del Cauca",Colombia,South America,3.5834664,-76.4952223,Destroyed,3,3,0,Human factor
2015-10-14,Unknown,Cessna 421B Golden Eagle II,Aero One,1973,Unknown,Unknown,Takeoff (climb),Executive/Corporate/Business,Airport (less than 10 km from airport),"Hammond-Northshore, Louisiana",United States of America,North America,30.523018999999998,-90.41507115892587,Unknown,2,2,0,Human factor
2015-10-15,Unknown,Comp Air CA-8,Paul R. Boak,2006,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Ray, Michigan",United States of America,North America,41.7598919,-84.8721294,Unknown,1,0,0,Human factor
2015-10-16,Unknown,Cessna 207 Skywagon/Stationair,Chapman Corporate Air Services,1976,Unknown,Unknown,Takeoff (climb),Private,"Plain, Valley","Taylor, British Columbia",Canada,North America,56.159227,-120.6867691,Unknown,2,2,0,Unknown
2015-10-18,Unknown,Beechcraft 60 Duke,Sky Hub Aviation,1977,Unknown,Unknown,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),City,"Bogotá-El Dorado, Bogotá Capital District",Colombia,South America,4.61001675,-74.06930256481051,Unknown,4,4,5,Technical failure
2015-10-19,Accident,Learjet 35,Top Air (Argentina),1979,Multi Jet Engines,Honeywell TFE731-2C-2B,Takeoff (climb),Positioning,Airport (less than 10 km from airport),"Buenos Aires-San Fernando, Buenos Aires City",Argentina,South America,-34.9964963,-64.9672817,Destroyed,2,0,0,Technical failure
2015-10-22,Accident,Learjet 31,Grupo Constructor Plata,1998,Multi Jet Engines,Garrett TFE731-2-2B,Flight,Executive/Corporate/Business,"Plain, Valley","Apaseo el Alto, Guanajuato",Mexico,Central America,20.4325631,-100.59215214404156,Destroyed,4,4,0,Unknown
2015-10-23,Accident,Boeing 737-300,Peruvian Airlines,1990,Multi Jet Engines,CFMI CFM56-3B2,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Cuzco-Alejandro Velasco Astete, Cuzco",Peru,South America,-6.8699697,-75.0458515,Substantial,139,0,0,Human factor
2015-10-26,Unknown,Piper PA-31-350 Navajo Chieftain,Spohrer & Dodd Aviation,1978,Unknown,Unknown,Landing (descent or approach),Executive/Corporate/Business,"Plain, Valley","Weston, Florida",United States of America,North America,26.1003392,-80.399513,Unknown,3,0,0,Human factor
2015-10-26,Accident,Boeing 737-400,Comair - South Africa,1993,Multi Jet Engines,CFMI CFM56-3C1,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Johannesburg-Oliver Reginald Tambo (Jan Smuts), Gauteng",South Africa,Africa,-26.1360131,28.24496774636681,Substantial,100,0,0,Human factor
2015-10-28,Unknown,Pilatus PC-6 (Porter & Turbo Porter),National Argentinian Police,1977,Unknown,Unknown,Flight,Government,"Plain, Valley","Buenos Aires, Buenos Aires City",Argentina,South America,-34.608797,-58.449165,Unknown,2,2,0,Unknown
2015-10-29,Accident,Boeing 767-200,Dynamic International Airways,1986,Multi Jet Engines,Pratt & Whitney JT9D-7R4E4,Taxiing,Scheduled Revenue Flight,Airport (less than 10 km from airport),"Fort Lauderdale-Hollywood, Florida",United States of America,North America,26.072017000000002,-80.15099673135214,Substantial,101,0,0,Technical failure
2015-10-31,Unlawful Interference,Airbus A321,MetroJet (Russia),1997,Multi Jet Engines,IAE V2533-A5,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Desert,"Hasna, North Sinai",Egypt,Africa,26.2540493,29.2675469,Destroyed,224,224,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
2015-11-01,Accident,Grumman G-159 Gulfstream I,Malu Aviation,1965,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kinshasa-N'Djili, Kinshasa City Province",Democratic Republic of Congo,Africa,-15.4139213,28.289698,Substantial,26,0,0,Technical failure
2015-11-02,Accident,Fokker F27 Friendship,Senegalese Air Force - Armée de l'Air Sénégalaise,1979,Multi Turboprop Engines,Unknown,Flight,Military,"Plain, Valley","Koussané, Kayes",Mali,Africa,14.8854699,-11.2338767,Substantial,10,0,0,Technical failure
2015-11-03,Accident,Boeing 737-400,Shaheen Air,1992,Multi Jet Engines,CFMI CFM56-3C1,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Lahore-Allama Muhammad Iqbal, Punjab (پنجاب)",Pakistan,Asia,31.5746624,74.33579487454149,Substantial,121,0,0,Human factor
2015-11-04,Accident,Antonov AN-12,Allied Services Limited,1971,Multi Turboprop Engines,Ivchenko AI-20,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Juba, Central Equatoria (الاستوائية الوسطى)",South Sudan,Africa,4.8459246,31.5959173,Destroyed,43,41,0,Other causes
2015-11-09,Unknown,Cessna 441 Conquest,Legal Airways,1980,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","Climax, Georgia",United States of America,North America,30.8763519,-84.4324676,Unknown,2,2,0,Human factor
2015-11-10,Accident,Hawker Siddeley HS.780 Andover C.1,Westwind Aviation (Kenya),1966,Multi Turboprop Engines,Unknown,Takeoff (climb),Humanitarian,Airport (less than 10 km from airport),"Malakal, Upper Nile (أعالي النيل)",South Sudan,Africa,9.181376628779413,32.19393763260591,Destroyed,4,0,0,Unknown
2015-11-10,Accident,BAe 125,Execuflight,1979,Unknown,Garrett TFE731-3-1H,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),City,"Akron-Canton, Ohio",United States of America,North America,40.9152061,-81.43992419328089,Destroyed,9,9,0,Human factor
2015-11-10,Accident,Cessna 650 Citation VII,Banco Bradesco,1998,Multi Jet Engines,Garrett TFE731-4R-2S,Flight,Executive/Corporate/Business,"Plain, Valley","Guarda-Mor, Minas Gerais",Brazil,South America,-17.7698233,-47.0986827,Destroyed,4,4,0,Technical failure
2015-11-14,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),WWSL Inc. Trustee,1989,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Buttles Farm, Somerset",United Kingdom,Europe,54.7023545,-3.2765753,Unknown,4,4,0,Human factor
2015-11-16,Accident,Learjet 60,Servicios Aéreos Estrella,2001,Multi Jet Engines,Unknown,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Zihuatanejo, Guerrero",Mexico,Central America,17.6467874,-101.551974,Substantial,2,0,0,Human factor
2015-11-17,Unknown,Cessna 402,Private Colombian,1976,Unknown,Unknown,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),City,"Acandí, Chocó",Colombia,South America,8.5115155,-77.2790562,Unknown,10,2,0,Human factor
2015-11-21,Unknown,Piper PA-31-310 Navajo,Three T’s Auto Sale,1968,Unknown,Unknown,Takeoff (climb),Training,City,"Guatemala City-La Aurora, Guatemala",Guatemala,Central America,14.5821741,-90.52902094901863,Unknown,2,0,0,Human factor
2015-11-22,Accident,Boeing 737-300,Avia Traffic Company,1990,Multi Jet Engines,CFMI CFM56-3B1,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Osh, Osh City",Kyrgyzstan,Asia,40.537187849999995,72.80517527412405,Substantial,154,0,0,Human factor
2015-11-26,Accident,Boeing 737-300,Magnicharters,1988,Multi Jet Engines,CFMI CFM56-3C1,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Mexico City-Benito Juarez, Federal District of Mexico City",Mexico,Central America,23.6585116,-102.0077097,Substantial,144,0,0,Human factor
2015-12-03,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Private American,2014,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Mammoth Lakes-Yosemite, California",United States of America,North America,39.7837304,-100.445882,Unknown,2,0,0,Weather
2015-12-04,Accident,BAe 125,Washington Corporation Leasing (WC Leasing),1986,Unknown,Unknown,Landing (descent or approach),Positioning,Airport (less than 10 km from airport),"Palm Springs, California",United States of America,North America,33.8246269,-116.540303,Minor,2,0,0,Technical failure
2015-12-04,Accident,De Havilland DHC-8-400 (Dash-8),SpiceJet,2011,Multi Turboprop Engines,Pratt & Whitney Canada PW150A,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Jabalpur, Madhya Pradesh",India,Asia,23.1701522,79.9324505,Substantial,53,0,0,Other causes
2015-12-07,Accident,Eclipse EA500,Dixco Transport,2008,Multi Jet Engines,Pratt & Whitney Canada PW617F-A,Flight,Private,"Plain, Valley","Swellendam, Western Cape",South Africa,Africa,-34.021111,20.441944,Destroyed,1,1,0,Unknown
2015-12-08,Unknown,Cessna 340,Private German,1984,Unknown,Unknown,Landing (descent or approach),Private,Airport (less than 10 km from airport),"Augsburg, Bavaria",Germany,Europe,48.3690341,10.8979522,Unknown,5,0,0,Human factor
2015-12-10,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Airsea Charters,2003,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Omaha-Eppley, Nebraska",United States of America,North America,41.3011252,-95.88987091468039,Unknown,1,1,0,Human factor
2015-12-11,Accident,Cessna 208B Grand Caravan,Wasaya Airways,1990,1 Turboprop engine,Pratt & Whitney Canada PT6A-114A,Flight,Cargo,"Plain, Valley","Pickle Lake, Ontario",Canada,North America,51.4648142,-90.1925284,Destroyed,1,1,0,Weather
2015-12-15,Accident,Boeing 737-300,Southwest Airlines (USA),1997,Multi Jet Engines,CFMI CFM56-3B1,Taxiing,Scheduled Revenue Flight,Airport (less than 10 km from airport),"Nashville-Intl, Tennessee",United States of America,North America,36.119584849999995,-86.68266224371092,Substantial,138,0,0,Human factor
2015-12-21,Accident,Embraer ERJ-190,KalStar Aviation,2006,Unknown,General Electric CF34-10E7,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kupang, East Nusa Tenggara",Indonesia,Asia,-10.1632209,123.6017755,Substantial,125,0,0,Human factor
2015-12-22,Accident,Beechcraft 200 Super King Air,Border Security Force,1994,Unknown,Pratt & Whitney Canada PT6A-42,Takeoff (climb),Survey / Patrol / Reconnaissance,City,"New Delhi-Indira Gandhi, National Capital Territory of Delhi",India,Asia,28.555524,77.0851248,Destroyed,10,10,0,Human factor
2015-12-23,Accident,Beechcraft Beechjet 400,Aerolíneas Ejecutivas,2004,Multi Jet Engines,Pratt & Whitney Canada JT15D,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Telluride, Colorado",United States of America,North America,37.9374939,-107.812285,Destroyed,7,0,0,Human factor
2015-12-24,Accident,Airbus A310,Serve Air,1986,Multi Jet Engines,General Electric CF6-80C2A2,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Mbuji-Mayi, Kasai-Oriental",Democratic Republic of Congo,Africa,-6.1258942,23.5998111,Substantial,5,5,8,Unknown
2015-12-24,Unknown,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),North Mississippi Pulmonology Clinic,2007,Unknown,Unknown,Takeoff (climb),Private,Airport (less than 10 km from airport),"Corinth-Roscoe Turner, Mississippi",United States of America,North America,39.7837304,-100.445882,Unknown,4,0,0,Human factor
2015-12-28,Unknown,Cessna 402,Private Venezuela,1996,Unknown,Unknown,Flight,Private,"Lake, Sea, Ocean, River","Barcelona, Anzoátegui",Venezuela,South America,10.1325951,-64.6819583,Unknown,3,0,0,Technical failure
2016-01-02,Accident,Cessna 208B Grand Caravan,Wright Air Service,1996,1 Turboprop engine,Pratt & Whitney Canada PT6A-114A,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Mountains,"Anaktuvuk Pass, Alaska",United States of America,North America,68.1413944,-151.735979,Substantial,8,0,0,Human factor
